Property,Description,Examples
Silhouette,Examine the jumpsuit's overall shape to determine its silhouette. Classify according to the following categories,"Straight, Fitted, Wide Leg, Tapered, Culotte, Blouson, Other, None."
Fit,Determine the jumpsuit's fit by how it conforms to the body. Classify the fit into the following categories,"Tight, Loose, Regular, Slim Fit, Relaxed Fit, Other, None."
Neckline Style,Identify the style of the jumpsuit's neckline. Classify the neckline style into the following categories,"Crew Neck, V-Neck, Scoop Neck, Halter, Strapless, Square Neck, Other, None."
Sleeve Style,Observe the style of the jumpsuit's sleeves. Classify the sleeve style into the following categories,"Sleeveless, Cap Sleeves, Short Sleeves, Long Sleeves, Bell Sleeves, Other, None."
Sleeve Length,Measure the length of the jumpsuit's sleeves. Classify the sleeve length into the following categories,"Sleeveless, Short Sleeve, Three-Quarter Sleeve, Long Sleeve, Other, None."
Waist Style,Examine the style of the jumpsuit's waist. Classify the waist style into the following categories,"Elastic Waist, Drawstring Waist, Fitted Waist, Belted Waist, High Waist, Other, None."
Leg Style,Observe the style of the jumpsuit's legs. Classify the leg style into the following categories,"Straight Leg, Wide Leg, Skinny Leg, Flared Leg, Cropped, Other, None."
Closure Type,Identify the type of closure used on the jumpsuit. Classify the closure type into the following categories,"Zipper, Button, Hook and Eye, Snap, Tie, Other, None."
Pocket Style,Check for the presence and style of pockets on the jumpsuit. Classify the pocket style into the following categories,"Side Pockets, Back Pockets, Chest Pockets, No Pockets, Other, None."
Fabric Composition,Determine the type of fabric used in the jumpsuit's construction. Classify the fabric composition into the following categories,"Cotton, Polyester, Denim, Linen, Jersey, Silk, Velvet, Other, None."
Pattern,Identify any pattern on the jumpsuit. Classify the pattern into the following categories,"Solid, Striped, Checked, Floral, Geometric, Abstract, Other, None."
Decorative Elements,Look for any decorative elements on the jumpsuit. Classify into the following categories,"Ruffles, Lace, Embroidery, Sequins, Beading, Cut-outs, Other, None."
Leg Length,Measure the length of the jumpsuit's legs to classify. Classify the leg length into the following categories,"Shorts, Capri, Full Length, Other, None."
Shoulder Strap Style,Observe the style of the jumpsuit's shoulder straps. Classify the shoulder strap style into the following categories,"Spaghetti Straps, Wide Straps, Sleeveless, Halter, Off-Shoulder, Other, None."
