Property,Description,Examples
Silhouette,Examine the shorts' overall flow and proportions to determine how they shape the wearer's body. Generate a classification according to the following categories,"Regular, Slim, Relaxed, Baggy, Bermuda, Cargo, Board, Chino, Cutoffs, Denim, Athletic, Skort, Other, None."
Fit,Determine the shorts' fit by observing how they conform to the wearer's body. Classify the fit into the following categories,"Tight, Loose, Fitted, Flared, Bodycon, Relaxed, Structured, Draped, Other, None."
Waist Style,Identify the style of the shorts' waist by looking at its position and design. Classify the waist style into the following categories,"High-Waisted, Mid-Rise, Low-Rise, Elasticated, Banded, Yoked, Paperbag, Belted, Dropped, Drawstring, Other, None."
Waist Detailing,"Note any detailing present at the shorts' waist, such as decorative elements or functional design aspects. Classify the waist detailing into the following categories","Pleats, Ruffles, Bows, Buckles, Belts, Lace, Embroidery, Sequins, Beads, Other, None."
Closure Type,"Identify the type of closure used on the shorts, which may affect both function and style. Classify the closure type into the following categories","Zipper, Button, Hook-and-Eye, Drawstring, Pull-On, Velcro, Snap, Other, None."
Length,Measure the shorts from the waistline to the hem to determine their length. Classify the length into the following categories,"Short, Mid-Length, Knee-Length, Other, None."
Hem Style,Observe the style of the shorts' hemline. Classify the hem style into the following categories,"Straight, Curved, Asymmetrical, Scalloped, Ruffled, Cuffed, Raw Edge, Other, None."
Hem Detailing,Look for any detailing on the hemline of the shorts. Classify the hem detailing into the following categories,"Lace, Embroidery, Fringe, Ribbons, Ruffles, Sequins, Beads, Other, None."
Pocket Style,Check for the presence and style of pockets on the shorts. Classify the pocket style into the following categories,"Side Pockets, Back Pockets, Cargo Pockets, Slit Pockets, Patch Pockets, No Pockets, Other, None."
Pocket Location,Identify the location of pockets on the shorts if present. Classify the pocket location as,"Front, Back, Side, Inner, Other, None."
Overall Functional Features,Identify any functional features of the shorts such as linings or adjustable features. Classify the functional features into the following categories,"Pockets, Lined, Unlined, Adjustable Waist, Convertible, Built-in Underwear, Other, None."
Overall Decorative Elements,Observe any decorative elements on the shorts. Classify the decorative elements into the following categories,"Patterns, Sequins, Appliqués, Prints, Embroidery, Color Blocking, Panels, Distressed Details, Other, None."
Fabric Composition,Determine the type of fabric used in the shorts' construction. Classify the fabric composition into the following categories,"Cotton, Polyester, Wool, Silk, Denim, Leather, Suede, Knit, Jersey, Nylon, Spandex, Other, None."
