city,total_revenue
Rio de Janeiro,7292025.700000009
São Paulo,3173817.1299999966
Belo Horizonte,1187579.64
Brasília,902878.0399999996
Niterói,898659.4899999991
Salvador,698111.5800000002
Recife,519576.3600000001
Goiânia,501664.87
Curitiba,479955.2300000001
Campinas,379165.3600000001
São Gonçalo,328820.66000000003
Vila Velha,323557.78
Duque de Caxias,315532.71000000014
Vitória,312055.76
Porto Alegre,301918.53
Campos dos Goytacazes,263067.47
Florianópolis,257651.08000000002
Nova Iguaçu,252287.77000000002
Aracaju,249809.80999999997
Fortaleza,247683.48
Ribeirão Preto,245776.89999999997
Maceió,244659.41999999998
Serra,234145.30999999994
Juiz de Fora,227038.86999999994
Uberlândia,220552.71999999997
Santos,204503.28999999998
Macaé,196573.98999999996
Belém,178578.99
Volta Redonda,171364.91999999998
Londrina,169741.34
João Pessoa,148162.12
Maringá,144558.17
Montes Claros,141544.12
Manaus,141099.93
Teresina,136860.68
Natal,134607.38
Nova Friburgo,125818.11000000002
São José dos Campos,124158.67000000001
Santo André,121055.62
Cariacica,120611.13000000002
Contagem,119741.11
Campo Grande,118326.44
Sorocaba,114249.59
São Bernardo do Campo,112909.68000000001
Cabo Frio,110929.23000000001
Maricá,109221.97
São Luís,103758.79000000001
Jundiaí,103592.76
Piracicaba,101460.25
Petrópolis,101337.64000000001
São João de Meriti,99472.63000000002
Cuiabá,98626.96000000002
São José do Rio Preto,94442.39
Uberaba,93847.64000000001
Barra Mansa,93491.68000000001
Itaboraí,89689.95000000001
Feira de Santana,86623.86
Porto Velho,85562.45
Rio Branco,84122.72
Linhares,82529.91
Angra dos Reis,81772.06
Teresópolis,81266.33000000002
Limeira,78894.71
Rio das Ostras,77248.23
Muriaé,76597.71000000002
Guarulhos,75894.54000000001
Osasco,74958.53
Franca,74864.56
Nilópolis,74591.73000000001
Palmas,74227.45
Ipatinga,74165.93
Cataguases,73918.17
Santana de Parnaíba,73577.29
Governador Valadares,69550.78
Guarapari,67391.48
Nova Lima,62230.75
São Mateus,62100.759999999995
Jaboatão dos Guararapes,61609.020000000004
Petrolina,61304.649999999994
Barueri,59482.68
Resende,59450.42
Americana,59393.850000000006
Lauro de Freitas,58621.990000000005
Camaçari,57481.07000000001
Bauru,56939.270000000004
Belford Roxo,55067.06
São João Del Rei,54599.95999999999
São Caetano do Sul,54593.8
Taubaté,54566.990000000005
Brusque,53136.4
Itabirito,52745.97
Itaguaí,52503.399999999994
Araruama,52225.95
Itaperuna,52101.28999999999
Cachoeiro de Itapemirim,51965.44
Rio Claro,51658.369999999995
Valença,51247.57000000001
São Fidélis,50748.340000000004
Vitória da Conquista,50533.65
Blumenau,47454.409999999996
Bom Jesus da Lapa,47093.92999999999
São Carlos,46699.82
Patos de Minas,46487.49
Betim,45710.65
Três Rios,45499.26
Anápolis,45487.76
Marília,45259.149999999994
Dourados,45069.9
Valinhos,44913.869999999995
Colatina,44548.55
Araçatuba,44459.59
Porto Seguro,44322.64
Lavras,43820.77
Patrocínio,43190.450000000004
Magé,42532.329999999994
Parauapebas,42529.32
Aracruz,42359.76
São Pedro da Aldeia,42302.56
Teófilo Otoni,42065.98
Ilhéus,42041.58
Mogi das Cruzes,41308.79
Saquarema,40934.0
Mesquita,40831.2
São José,40600.0
Praia Grande,39323.549999999996
Joinville,39307.47
Imperatriz,39020.49
Barra do Piraí,38921.979999999996
Indaiatuba,38489.149999999994
Itabuna,38131.490000000005
Catanduva,38125.11
Paracatu,37870.97
RIO DE JANEIRO,37867.96
Bragança Paulista,37845.6
Olinda,36935.170000000006
Mossoró,36609.56
Presidente Prudente,36468.47
Itajaí,36366.100000000006
Parnamirim,35922.350000000006
Balneário Camboriú,34828.07
Ji-Paraná,34599.37
Rio Verde,33992.06
Araguari,33954.97
Araraquara,33929.270000000004
Cotia,33766.57000000001
Itaúna,33364.479999999996
Rondonópolis,33146.020000000004
Campina Grande,32895.3
Caratinga,32743.5
Foz do Iguaçu,32202.690000000002
Poços de Caldas,32167.119999999995
Dracena,31807.190000000002
Santo Antônio de Jesus,31511.5
Rio Bonito,31114.059999999998
Sumaré,30840.769999999997
Guarujá,30640.59
Luziânia,30596.579999999998
Casimiro de Abreu,29776.239999999998
Juazeiro,29740.090000000004
Arapiraca,29704.049999999996
Leopoldina,29492.2
Jacareí,29361.7
Ubá,28964.95
Itabira,28718.87
Mogi Guaçu,28599.879999999997
Lagoa Santa,28578.589999999997
Barreiras,28500.66
Barbacena,28031.979999999996
Seropédica,27804.17
Eunápolis,27703.8
Santa Maria,27556.9
Timóteo,27423.449999999997
Catalão,27254.4
Vassouras,27207.1
SAO PAULO,27110.4
Cascavel,26817.38
Boa Vista,25883.800000000003
São Vicente,25812.58
Mococa,25748.0
Jaraguá do Sul,25684.97
Aparecida de Goiânia,25493.28
Caxias do Sul,25419.0
Itatiba,25259.179999999997
Formosa,25182.739999999998
Coronel Fabriciano,25162.57
Divinópolis,25133.57
Macapá,24865.879999999997
Jaú,24861.78
Cruzeiro,24777.59
Castelo,24603.7
Conselheiro Lafaiete,24592.379999999997
Atibaia,24225.690000000002
Diadema,24031.690000000002
Porciúncula,23952.619999999995
Carapicuíba,23949.489999999998
Além Paraíba,23848.48
Umuarama,23623.44
Botucatu,23617.2
Apucarana,23451.5
Vinhedo,23334.75
Nova Venécia,23301.29
Arraial do Cabo,23157.36
Santa Luzia,23052.89
Paulínia,22954.39
Criciúma,22821.39
Viçosa,22722.48
Manhuaçu,22633.68
Pouso Alegre,22567.989999999998
Mangaratiba,22547.29
Ponta Grossa,22307.59
Santa Bárbara D'Oeste,22095.84
Paraty,22093.17
