visionCategoryName,total_sales_value
Vestidos,2878930.049999995
Outras,1909953.359999991
Calças,1663931.5199999989
hold,809060.6100000013
Cardigan,774219.0
Macacão,740430.7300000001
Blusa,575413.6799999999
Shorts,454671.58000000013
Camisa,298272.58
Saias,266781.77999999997
Kimono,240446.09999999998
Blazers,238521.80000000005
Sandálias,117525.86999999997
Tops,115759.50000000003
Suéter,114996.0
Jaquetas,69142.88
Camisetas,66144.2
Body,58119.05000000001
Tamancos,41360.4
Biquini,33945.9
Rasteiras,14736.369999999999
Tenis,9884.779999999999
Sapatilhas,5988.0
Sapatos,2094.0
Colares,1715.0
Polo,349.0
Top de Biquini,149.0
