city,total_sales_value
Uauá,678.0
Catigua,349.0
Carmo do Cajuru,1145.0
Caeté,2560.99
Dois Irmãos do Buriti,649.0
Itiúba,149.0
Cruz das Almas,10221.2
Barrolândia,479.0
Itaquiraí,3366.0
Santana do Manhuaçu,3337.0
Aloândia,498.0
Vale do Paraíso,1276.0
Oliveira de Fátima,1096.0
Itatiaia,8345.880000000001
Rio Novo do Sul,1551.0
Guaxupé,5402.78
Taquara,249.0
Martinho Campos,2454.0
Osório,4376.0
Doverlândia,449.0
Crato,1909.99
Viradouro,608.0
Cravinhos,6121.0
Taguai,978.0
Monte Castelo,598.0
Mesquita,40831.200000000004
Terra Nova,1043.0
Pomerode,642.2
Pérola,1194.0
Santo Antônio de Lisboa,2192.0
Pedra Azul,549.0
São Bento,1964.0
Macedônia,598.0
São João Evangelista,379.0
Caiana,198.0
Cajamar,1881.0
Tuntum,1522.0
Aquiraz,1394.0
São Sebastião do Caí,174.5
Novo Cruzeiro,477.0
Prudentópolis,1056.0
Abre Campo,3417.0
Eldorado,1834.0
Anaurilândia,3560.6
São Luiz Gonzaga,1555.0
Cerejeiras,1525.0
Tarauacá,677.4
Fortaleza dos Valos,379.0
Patos,2113.5
Salvador ,379.0
Porto de Moz,263.2
Santa Maria do Pará,349.0
Itobi,1126.0
Riachuelo,229.0
Cajueiro,238.8
Mineiros,6126.39
Boqueirão,398.0
LONDRINA,1098.0
Padre Bernardo,4903.5
Magalhães de Almeida,449.0
Querência,418.5
São Fidélis,50748.34
Ponto Novo,598.0
Jandira,2094.6
Timbaúba,6665.5
Santa Cruz de Minas,3489.0
Juquitiba,608.0
Jacobina,8430.98
Xaxim,1377.0
Carpina,3506.0
Satuba,547.0
Paraíso do Norte,2480.0
Frutal,5459.0
Cansanção,458.0
Bálsamo,1584.0
Angra dos Reis,81772.06000000001
Pariquera-Açu,1624.0
Coari,798.0
Armação dos búzios,387.0
Santa Maria do Cambucá,598.0
Escada,1891.0
Itacarambi,1979.5
São José de Ribamar,5625.3
Itá,198.0
Leme do Prado,1430.5
Campo Erê,2043.0
Canoas,15581.49
Rio dos Bois,598.0
Garça,9550.5
Mesquita ,349.0
Nobres,1494.0
CAMPINAS,8555.0
Campos do Jordão,2004.99
Miranorte,527.0
Demerval Lobão,379.0
Ervália,957.0
Cordeirópolis,2786.8
Rosana,852.5
Pouso Alegre,22567.99
São Tomás de Aquino,598.0
Rancharia,2722.59
Pedrinhas Paulista,379.0
Araçuaí,9886.0
Indaial,4964.0
Eugenópolis,4310.0
Bom Jesus dos Perdões,1633.49
Sarapuí,379.0
Cristalândia,3320.0
Rio de janeiro,3050.9799999999996
Terezinha,398.0
Quatro Barras,1147.0
Cabo de Santo Agostinho,6846.1
Saudades,198.0
Navegantes,5434.5
Ivoti,2043.0
Casa Branca ,349.0
Ibatiba,7391.0
Vitorino,1676.0
bom despacho,777.0
Pojuca,4067.4
Santa Quitéria do Maranhão,2232.0
Tiradentes,5682.94
Nerópolis,3359.0
Ubiratã,1654.0
Lorena,17344.18
Ipojuca,4655.5
Cataguases,73918.17
Campinas,379165.3599999998
Penha,3172.8
Agudos,498.0
Itajubá,8742.380000000001
Cariacica,120611.13000000006
Vianópolis,198.0
Itu,13949.0
Taquaritinga do Norte,908.0
Areal,2909.8
Guaraí,1445.0
Divinolândia,6198.48
santa cruz das palmeiras,298.0
Cardoso,149.0
aparecida,1047.0
Ribeirão Cascalheira,698.0
Jaguaquara,1047.0
Barro Alto,598.0
Goiânia,501664.8699999997
Araruama,52225.94999999999
Ibotirama,1476.0
Mamanguape,339.5
Erechim,6087.5
São Sebastião da Grama,2051.0
Uchoa,239.99
Rodelas,1300.5
Uraí,279.0
Palmares,6363.98
Patrocínio do Muriaé,2678.0
Guaraniaçu,479.0
Mossâmedes,398.0
Sousa,1610.99
Quixabeira,898.0
São Domingos do Norte,4813.0
São Sebastião do Paraíso,8380.99
Aldeias Altas,449.0
Descoberto,1795.2
Coroados,229.0
Itapoá,2334.5
Sirinhaém,418.0
Rio do Prado,1157.0
Patrocinio,1268.5
Goiabeira,1894.0
Pedras de Fogo,1196.0
Piracicaba,101460.25000000001
Belo Horizonte,1187579.6399999992
Piracanjuba,908.0
São Joaquim da Barra,4823.47
Barra do Piraí,38921.98
Alterosa,247.0
Canápolis,349.0
Salvador do Sul,3928.0
Leme,15290.97
Araguari,33954.97
Peruíbe,3220.99
Frecheirinha,659.98
Rio Manso,1344.0
Santa Adélia,1247.0
Gália,1094.0
Angatuba,249.0
Caiapônia,5369.0
Nhandeara,479.0
Córrego Novo,848.0
Americana,59393.84999999999
Ribeirão Preto,245776.89999999994
Pirapetinga,5105.1
Senhora dos Remédios,6114.5
Quissamã,13133.5
Campina Grande,32895.3
Sento Sé,2255.5
Quilombo,798.0
Santa Terezinha de Goiás,1596.0
Capivari de Baixo,1247.0
Penápolis,8253.58
Varzelândia,1036.0
Dobrada,1377.0
Capim Grosso,7405.0
Angelândia,926.0
Ananindeua,21912.030000000002
Alpinópolis,1803.0
Damianópolis,349.0
SAO JOSE,149.0
São Francisco do Guaporé,4735.0
Macaé,196573.98999999982
Ribeirão do Pinhal,996.0
Pelotas,17337.9
Cabo Frio,110929.2300000001
Garuva,629.0
Jales,7849.5
Petrolina,61304.65
Glória do Goitá,846.0
Casimiro de Abreu,29776.24000000001
Janaúba,4456.0
Barra de São Francisco,7902.0
Barbosa,298.0
Carapebus,10361.18
Rio do Sul,6983.5
Passos,10208.49
Rio Branco ,796.0
Macaparana,1724.0
Saloá,229.0
Itororó,249.0
Teixeiras,2791.0
Lucélia,1094.0
Tefé,596.0
Itapiranga,1194.0
Santo Estêvão,7189.1
Bauru,56939.26999999999
Louveira,11040.0
Lapa,858.0
Piacatu,349.0
Santaluz,1326.0
Vargem Grande Paulista,5158.19
Vila dos Corodos,198.0
Valença do Piauí,1753.0
Jussara,5565.0
BIRIGUI,698.0
Taquarana,429.0
Dourados ,429.0
Conceição do Rio Verde,1092.0
Santo Inácio,1241.0
São José do Rio Preto,94442.39000000001
Durandé,996.0
Padre Paraíso,13159.869999999999
Iperó,547.0
Rolândia,8015.59
São José dos Campos,124158.67000000001
Canindé de São Francisco,1076.0
João Dourado,398.0
Piraquara,1875.99
Barra da Estiva,2748.0
Turvânia,358.0
Itaperuna,52101.28999999999
São Domingos do Capim,398.0
Paracuru,349.0
Olho D'Água das Flores,1785.0
Pinhão,1285.0
Presidente Dutra,7106.58
Araçariguama,179.0
Camaçari,57481.07
Macaúbas,2799.0
Canaa Dos Carajas,627.0
Gurinhatã,379.0
Simolândia,259.0
Uberlandia,945.0
Urucânia,1091.2
Severínia,896.0
IGARACU DO TIETE,698.0
SOROCABA,498.0
Muniz Freire,5643.5
Itabira,28718.869999999995
Jaciara,7004.0
Conceição da Barra de Minas,349.0
Aiuruoca,777.0
Santo Amaro,5659.49
Guaporé,2294.5
Itarana,2299.0
Ipatinga,74165.93
Três Ranchos,2191.0
Barrinha,716.8
Sabino,5063.0
Pindorama,820.5
Souto Soares,1355.0
Pato Branco,11172.0
Teresopolis,379.0
Ouro Branco,8402.6
Feliz Natal,4572.0
Porto Belo,6553.99
São Manoel do Paraná,947.0
Indiaporã,398.0
São Felipe,3450.0
Anagé,2400.0
Marcação,1056.0
BARUERI,1556.0
Curimatá,1734.0
Telêmaco Borba,2541.0
São Miguel do Oeste,8028.5
Ministro Andreazza,398.0
PATO BRANCO,498.0
Esplanada,278.6
Ribeirópolis,1805.0
Sumaré,30840.770000000004
Santo Anastácio,1147.0
Barra dos coqueiros-se ,279.0
Rafard,1503.99
Monte Alegre do Piauí,547.0
Formiga,16818.949999999997
Salto do Céu,877.0
Itaguaçu,1879.5
Sertãozinho,18641.5
São Gotardo,4585.0
Jarinu,479.0
Santana do Deserto,855.0
São Geraldo,198.0
Surubim,2943.0
Aracaju,249809.80999999994
Cassilândia,1601.5
Santo André,121055.62000000002
Serra Azul,498.0
