visionCategoryName,total_sales_per_category
Vestidos,14394491.249999993
Calças,9914579.25
hold,4234848.250000002
Cardigan,3871095.0
Macacão,3715677.129999998
Outras,3429572.6100000013
Blusa,2879974.7600000035
Shorts,2789646.4100000015
Saias,1495040.2999999998
Camisa,1492762.88
Blazers,1176524.5
Kimono,1108265.1
Sandálias,790816.6000000004
Tops,626402.8799999994
Suéter,574980.0
Tamancos,448336.0000000001
Jaquetas,353302.4
Camisetas,343302.95000000007
Body,290595.25
Rasteiras,184689.5600000002
Biquini,169729.5
Tenis,76045.49999999999
Sapatilhas,71856.0
Sapatos,25128.0
Polo,1745.0
Colares,1715.0
Top de Biquini,745.0
